name,jain,vegetarian,vegan,jain_reason,vegetarian_reason,vegan_reason
hydrolyzed animal protein,maybe,maybe,no,Explicitly animal-derived protein,Explicitly animal-derived protein,Explicitly animal-derived protein
imidazolidinyl urea,maybe,maybe,no,Synthetic preservative that may use animal-derived components,Synthetic preservative that may use animal-derived components,Manufacturing process may involve animal-derived materials
includes blue 1 lake,maybe,yes,no,Synthetic color that may be tested on animals,Synthetic color - not directly animal-derived,May involve animal testing or animal-derived processing aids
insulin,maybe,maybe,no,Can be synthetic or derived from animal pancreas,Can be synthetic or derived from animal pancreas,Often derived from animal sources or tested on animals
inulin,yes,yes,yes,Plant-based fiber extracted from chicory root or other plants,May be processed with non-vegetarian processing aids,Plant-based fiber extracted from chicory root or other plants
invert sugar,yes,yes,yes,Plant-based sugar processed from sucrose,Plant-based sugar processed from sucrose,Plant-based sugar processed from sucrose
iron,yes,yes,yes,Mineral supplement - naturally occurring element,Mineral supplement - naturally occurring element,Mineral supplement - naturally occurring element
isinglass,maybe,maybe,no,Fish-derived gelatin used as clarifying agent,Fish-derived gelatin used as clarifying agent,Derived from fish bladders
isopropyl lanolate,maybe,maybe,no,Derived from lanolin (sheep wool wax),Derived from lanolin (sheep wool wax),Derived from sheep wool wax
isopropyl myristate,maybe,maybe,no,Can be plant or animal-derived depending on source,Can be plant or animal-derived depending on source,Often contains animal-derived components
isopropyl palmitate,maybe,maybe,no,Can be plant or animal-derived depending on source,Can be plant or animal-derived depending on source,Often contains animal-derived components
jaggery,yes,yes,yes,Unrefined sugar from sugarcane or palm - plant-based,Unrefined sugar from sugarcane or palm - plant-based,Unrefined sugar from sugarcane or palm - plant-based
jeera,yes,yes,yes,Cumin seeds - plant-based spice,Cumin seeds - plant-based spice,Cumin seeds - plant-based spice
jerusalem artichoke,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
jicama,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
kaddu,yes,yes,yes,Pumpkin/squash - above-ground plant-based vegetable,Pumpkin/squash - above-ground plant-based vegetable,Pumpkin/squash - above-ground plant-based vegetable
karela,yes,yes,yes,Bitter gourd - above-ground plant-based vegetable,Bitter gourd - above-ground plant-based vegetable,Bitter gourd - above-ground plant-based vegetable
keratin,maybe,maybe,no,Protein derived from animal hair/nails/hooves,Protein derived from animal hair/nails/hooves,Derived from animal hair/nails/hooves
kidney beans,yes,yes,yes,Legume - plant-based protein source,Legume - plant-based protein source,Legume - plant-based protein source
kohlrabi,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based vegetable from cabbage family,Plant-based vegetable from cabbage family
l-form,maybe,maybe,no,Amino acid that can be synthetic or animal-derived,Amino acid that can be synthetic or animal-derived,Often derived from animal proteins
lactic acid,yes,yes,yes,Can be produced through plant-based fermentation,Can be produced through plant-based fermentation,Can be produced through plant-based fermentation
lactose,yes,yes,no,Milk sugar - dairy-derived but vegetarian-acceptable,Milk sugar - dairy-derived but vegetarian-acceptable,Derived from animal milk
laneth,maybe,maybe,no,Derived from lanolin (sheep wool wax),Derived from lanolin (sheep wool wax),Derived from sheep wool wax
lanogene,maybe,maybe,no,Derived from lanolin (sheep wool wax),Derived from lanolin (sheep wool wax),Derived from sheep wool wax
lanolin,maybe,maybe,no,Wax secreted by sheep wool glands,Wax secreted by sheep wool glands,Derived from sheep wool
lanolin acids,maybe,maybe,no,Derived from lanolin (sheep wool wax),Derived from lanolin (sheep wool wax),Derived from sheep wool wax
lanolin alcohol,maybe,maybe,no,Derived from lanolin (sheep wool wax),Derived from lanolin (sheep wool wax),Derived from sheep wool wax
lanosterols,maybe,maybe,no,Steroid derived from lanolin or animal sources,Steroid derived from lanolin or animal sources,Often derived from animal sources
lard,maybe,maybe,no,Pig fat - explicitly animal-derived,Pig fat - explicitly animal-derived,Pig fat - explicitly animal-derived
lauki,yes,yes,yes,Bottle gourd - above-ground plant-based vegetable,Bottle gourd - above-ground plant-based vegetable,Bottle gourd - above-ground plant-based vegetable
lavender,yes,yes,yes,Plant-based herb and essential oil,May be processed with non-vegetarian processing aids,Plant-based herb and essential oil
leather,maybe,maybe,no,Animal hide processed into material,Animal hide processed into material,Made from animal hides
leavening,yes,yes,yes,Plant-based or synthetic rising agents,Plant-based or synthetic rising agents,Plant-based or synthetic rising agents
lecithin,yes,yes,no,Can be plant-based (soy) or synthetic,Can be plant-based (soy) or synthetic,Often contains egg-derived components
leek,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based vegetable from onion family,Plant-based vegetable from onion family
lemon,yes,yes,yes,Citrus fruit - plant-based and naturally occurring,Citrus fruit - plant-based and naturally occurring,Citrus fruit - plant-based and naturally occurring
lemon juice,yes,yes,yes,Extracted from citrus fruit - plant-based,Extracted from citrus fruit - plant-based,Extracted from citrus fruit - plant-based
lemongrass,yes,yes,yes,Plant-based herb and flavoring,May be processed with non-vegetarian processing aids,Plant-based herb and flavoring
dextrose,yes,yes,yes,Plant-based sugar derived from corn or other plants,Plant-based sugar derived from corn or other plants,Plant-based sugar derived from corn or other plants
lactose,yes,yes,no,Milk sugar - dairy-derived but vegetarian-acceptable,Milk sugar - dairy-derived but vegetarian-acceptable,Derived from animal milk
linoleic acid,maybe,maybe,no,Essential fatty acid that can be plant or animal-derived,Essential fatty acid that can be plant or animal-derived,Often contains animal-derived components
lipase,maybe,maybe,no,Enzyme that can be plant/microbial or animal-derived,Enzyme that can be plant/microbial or animal-derived,Often derived from animal pancreas
lipids,maybe,maybe,no,Fats that can be plant or animal-derived,Fats that can be plant or animal-derived,Often contains animal-derived components
lipoids,maybe,maybe,no,Fat-like substances that can be plant or animal-derived,Fat-like substances that can be plant or animal-derived,Often contains animal-derived components
liquid smoke,yes,yes,yes,Plant-based flavoring from controlled wood burning,Plant-based flavoring from controlled wood burning,Plant-based flavoring from controlled wood burning
lobia,yes,yes,yes,Black-eyed peas - plant-based legume,Black-eyed peas - plant-based legume,Black-eyed peas - plant-based legume
lotus root,no,yes,yes,Root that grows underwater/underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
macadamia,yes,yes,yes,Tree nut - plant-based and naturally occurring,May be processed in facilities with non-vegetarian items,Tree nut - plant-based and naturally occurring
malanga,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
maltodextrin,yes,yes,yes,Plant-based carbohydrate derived from corn/wheat/rice,Plant-based carbohydrate derived from corn/wheat/rice,Plant-based carbohydrate derived from corn/wheat/rice
mangoes,yes,yes,yes,Tropical fruit - plant-based and naturally occurring,Tropical fruit - plant-based and naturally occurring,Tropical fruit - plant-based and naturally occurring
marine oil,maybe,maybe,no,Fish or sea animal-derived oil,Fish or sea animal-derived oil,Derived from marine animals
meat,no,no,no,Animal flesh - explicitly non-vegetarian,Animal flesh - explicitly non-vegetarian,Animal flesh - explicitly non-vegetarian
methi,yes,yes,yes,Fenugreek - plant-based herb and spice,Fenugreek - plant-based herb and spice,Fenugreek - plant-based herb and spice
methionine,maybe,maybe,no,Amino acid that can be synthetic or animal-derived,Amino acid that can be synthetic or animal-derived,Often derived from animal proteins
milk,yes,yes,no,Dairy product - animal-derived but vegetarian-acceptable,Dairy product - animal-derived but vegetarian-acceptable,Derived from animal mammary glands
milk protein,maybe,maybe,no,Protein derived from animal milk,Protein derived from animal milk,Derived from animal milk
milkfat,yes,yes,no,Fat from animal milk but vegetarian-acceptable,Fat from animal milk but vegetarian-acceptable,Derived from animal milk
millet,yes,yes,yes,Plant-based grain - naturally occurring cereal,Plant-based grain - naturally occurring cereal,Plant-based grain - naturally occurring cereal
mink oil,maybe,maybe,no,Oil extracted from mink fat,Oil extracted from mink fat,Derived from mink animals
mint,yes,yes,yes,Plant-based herb - naturally occurring,Plant-based herb - naturally occurring,Plant-based herb - naturally occurring
molasses,yes,yes,yes,Plant-based syrup from sugar processing,Plant-based syrup from sugar processing,Plant-based syrup from sugar processing
monoglycerides,no,maybe,no,May involve fermentation that harms microorganisms,Can be plant or animal-derived - source verification needed,Often contains animal-derived components
monolycerides,no,no,no,May involve processes that harm microorganisms,May contain animal-derived components,Often contains animal-derived components
monosodium glutamate,yes,yes,yes,Can be produced through plant-based fermentation,Can be produced through plant-based fermentation,Can be produced through plant-based fermentation
moong,yes,yes,yes,Mung beans - plant-based legume,Mung beans - plant-based legume,Mung beans - plant-based legume
moong dal,yes,yes,yes,Split mung beans - plant-based legume,Split mung beans - plant-based legume,Split mung beans - plant-based legume
mushroom,no,yes,yes,Fungus - not considered plant in Jain tradition,Fungus - acceptable in vegetarian diet,Fungus - plant-kingdom organism
musk (oil),maybe,maybe,no,Can be synthetic or derived from animal musk glands,Can be synthetic or derived from animal musk glands,Often derived from animal musk glands
mustard oil,yes,yes,yes,Plant-based oil extracted from mustard seeds,Plant-based oil extracted from mustard seeds,Plant-based oil extracted from mustard seeds
mustard seeds,yes,yes,yes,Plant-based seeds used as spice,Plant-based seeds used as spice,Plant-based seeds used as spice
myristal ether sulfate,maybe,maybe,no,Synthetic compound that may use animal-derived starting materials,Synthetic compound that may use animal-derived starting materials,Manufacturing may involve animal-derived components
myristic acid,maybe,maybe,no,Fatty acid that can be plant or animal-derived,Fatty acid that can be plant or animal-derived,Often contains animal-derived components
myristyls,maybe,maybe,no,Compounds that can be plant or animal-derived,Compounds that can be plant or animal-derived,Often contains animal-derived components
nachos,no,maybe,no,Processed food that may contain multiple non-Jain ingredients,May contain dairy or other vegetarian ingredients,Often contains cheese and other animal-derived ingredients
niacin,yes,yes,yes,Vitamin B3 - can be synthetic or plant-derived,Vitamin B3 - can be synthetic or plant-derived,Vitamin B3 - can be synthetic or plant-derived
niacinamide,yes,yes,yes,Form of Vitamin B3 - can be synthetic or plant-derived,Form of Vitamin B3 - can be synthetic or plant-derived,Form of Vitamin B3 - can be synthetic or plant-derived
nucleic acids,maybe,maybe,no,DNA/RNA that can be plant/microbial or animal-derived,DNA/RNA that can be plant/microbial or animal-derived,Often derived from animal sources
oats,yes,yes,yes,Plant-based cereal grain,Plant-based cereal grain,Plant-based cereal grain
oca,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
ocenol,maybe,maybe,no,Synthetic alcohol that may use animal-derived precursors,Synthetic alcohol that may use animal-derived precursors,Manufacturing may involve animal-derived components
octyl dodecanol,maybe,maybe,no,Synthetic compound that may use animal-derived starting materials,Synthetic compound that may use animal-derived starting materials,Manufacturing may involve animal-derived components
oils,maybe,maybe,no,Can be plant or animal-derived depending on source,Can be plant or animal-derived depending on source,May contain animal-derived oils
oleic acid,maybe,maybe,no,Fatty acid that can be plant or animal-derived,Fatty acid that can be plant or animal-derived,Often contains animal-derived components
oleths,maybe,maybe,no,Compounds derived from oleic acid - can be animal-derived,Compounds derived from oleic acid - can be animal-derived,Often contains animal-derived components
oleyl alcohol,maybe,maybe,no,Fatty alcohol that can be plant or animal-derived,Fatty alcohol that can be plant or animal-derived,Often contains animal-derived components
oleyl arachidate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
oleyl imidazoline,maybe,maybe,no,Synthetic compound that may use animal-derived starting materials,Synthetic compound that may use animal-derived starting materials,Often contains animal-derived components
oleyl myristate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
oleyl oleate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
oleyl stearate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
olive oil,yes,yes,yes,Plant-based oil extracted from olives,Plant-based oil extracted from olives,Plant-based oil extracted from olives
onion,no,yes,yes,Root bulb that grows underground - not suitable for Jain diet,Plant-based vegetable,Plant-based vegetable
onion powder,no,yes,yes,Dried powder from underground bulb - not suitable for Jain diet,Plant-based seasoning,Plant-based seasoning
oranges,yes,yes,yes,Citrus fruit - plant-based and naturally occurring,Citrus fruit - plant-based and naturally occurring,Citrus fruit - plant-based and naturally occurring
oregano,yes,yes,yes,Plant-based herb - naturally occurring,Plant-based herb - naturally occurring,Plant-based herb - naturally occurring
organic soy lecithin,yes,yes,yes,Plant-based lecithin from organic soybeans,Plant-based lecithin from organic soybeans,Plant-based lecithin from organic soybeans
other types of skin,maybe,maybe,no,Animal-derived material,Animal-derived material,Animal-derived material
palak,yes,yes,yes,Spinach - above-ground leafy plant-based vegetable,Spinach - above-ground leafy plant-based vegetable,Spinach - above-ground leafy plant-based vegetable
palm,yes,yes,yes,Plant-based oil from palm fruit,Plant-based oil from palm fruit,Plant-based oil from palm fruit
palm kernel oil,yes,yes,yes,Plant-based oil from palm kernels,Plant-based oil from palm kernels,Plant-based oil from palm kernels
palm oil,yes,yes,yes,Plant-based oil extracted from palm fruit,Plant-based oil extracted from palm fruit,Plant-based oil extracted from palm fruit
palmitamide,maybe,maybe,no,Fatty acid derivative that can be plant or animal-derived,Fatty acid derivative that can be plant or animal-derived,Often contains animal-derived components
palmitamine,maybe,maybe,no,Fatty acid derivative that can be plant or animal-derived,Fatty acid derivative that can be plant or animal-derived,Often contains animal-derived components
palmitate,maybe,maybe,no,Fatty acid salt that can be plant or animal-derived,Fatty acid salt that can be plant or animal-derived,Often contains animal-derived components
palmitic acid,maybe,maybe,no,Fatty acid that can be plant or animal-derived,Fatty acid that can be plant or animal-derived,Often contains animal-derived components
paneer,yes,yes,no,Fresh cheese - dairy-derived but vegetarian-acceptable,Fresh cheese - dairy-derived but vegetarian-acceptable,Made from animal milk
panthenol,maybe,maybe,no,Form of Vitamin B5 that can be synthetic or animal-derived,Form of Vitamin B5 that can be synthetic or animal-derived,Often derived from animal sources
panthenyl,maybe,maybe,no,Vitamin B5 derivative that can be synthetic or animal-derived,Vitamin B5 derivative that can be synthetic or animal-derived,Often derived from animal sources
papaya,yes,yes,yes,Tropical fruit - plant-based and naturally occurring,Tropical fruit - plant-based and naturally occurring,Tropical fruit - plant-based and naturally occurring
paprika oleoresin,yes,yes,yes,Plant-based extract from paprika peppers,Plant-based extract from paprika peppers,Plant-based extract from paprika peppers
parsnip,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
partially hydrogenated soybean oil,yes,yes,yes,Plant-based oil that has been chemically processed,Plant-based oil that has been chemically processed,Plant-based oil that has been chemically processed
peanut butter,yes,yes,yes,Plant-based spread made from peanuts,Plant-based spread made from peanuts,Plant-based spread made from peanuts
peanuts,yes,yes,yes,Plant-based legume - naturally occurring,Plant-based legume - naturally occurring,Plant-based legume - naturally occurring
pearl essence,maybe,maybe,no,Can be synthetic or derived from fish scales,Can be synthetic or derived from fish scales,Often derived from fish scales
pecan,yes,yes,yes,Tree nut - plant-based and naturally occurring,May be processed in facilities with non-vegetarian items,Tree nut - plant-based and naturally occurring
peppermint,yes,yes,yes,Plant-based herb - naturally occurring,May be processed with non-vegetarian processing aids,Plant-based herb - naturally occurring
pepsin,maybe,maybe,no,Enzyme derived from animal stomach lining,Enzyme derived from animal stomach lining,Derived from animal stomach lining
pgpr,yes,yes,no,Polyglycerol polyricinoleate - can be plant-based,Polyglycerol polyricinoleate - can be plant-based,May contain animal-derived glycerol
pig,no,no,no,Animal meat - explicitly non-vegetarian,Animal meat - explicitly non-vegetarian,Animal meat - explicitly non-vegetarian
pine nuts,yes,yes,yes,Tree seed - plant-based and naturally occurring,May be processed in facilities with non-vegetarian items,Tree seed - plant-based and naturally occurring
pistachios,yes,yes,yes,Tree nut - plant-based and naturally occurring,Tree nut - plant-based and naturally occurring,Tree nut - plant-based and naturally occurring
placenta,maybe,maybe,no,Animal organ - explicitly animal-derived,Animal organ - explicitly animal-derived,Animal organ - explicitly animal-derived
placenta polypeptides protein,maybe,maybe,no,Protein derived from animal placenta,Protein derived from animal placenta,Derived from animal placenta
plantain,yes,yes,yes,Plant-based fruit similar to banana,Plant-based fruit similar to banana,Plant-based fruit similar to banana
plum,yes,yes,yes,Stone fruit - plant-based and naturally occurring,Stone fruit - plant-based and naturally occurring,Stone fruit - plant-based and naturally occurring
polyglycerol,maybe,maybe,no,Can be plant-based or contain animal-derived glycerol,Can be plant-based or contain animal-derived glycerol,Often contains animal-derived components
polypeptides,maybe,maybe,no,Protein chains that can be plant/synthetic or animal-derived,Protein chains that can be plant/synthetic or animal-derived,Often derived from animal proteins
polysorbates,maybe,maybe,no,Synthetic compounds that may use animal-derived starting materials,Synthetic compounds that may use animal-derived starting materials,Often contains animal-derived components
pomegranate,yes,yes,yes,Fruit - plant-based and naturally occurring,Fruit - plant-based and naturally occurring,Fruit - plant-based and naturally occurring
poppy seed,yes,yes,yes,Plant-based seed used as spice and food,Plant-based seed used as spice and food,Plant-based seed used as spice and food
pork,no,no,no,Pig meat - explicitly non-vegetarian,Pig meat - explicitly non-vegetarian,Pig meat - explicitly non-vegetarian
potato,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
potatoes,no,yes,yes,Root tubers that grow underground - not suitable for Jain diet,Plant-based root vegetables,Plant-based root vegetables
pretzel declaration for wheels,yes,yes,yes,Plant-based baked good made from flour and salt,Plant-based baked good made from flour and salt,Plant-based baked good made from flour and salt
pristane,maybe,maybe,no,Hydrocarbon that can be synthetic or animal-derived,Hydrocarbon that can be synthetic or animal-derived,Often derived from shark liver oil
processed with alkali,yes,yes,yes,Chemical processing method using plant-derived alkali,May use processing aids of unknown origin,Chemical processing method using alkali
progesterone,maybe,maybe,no,Hormone that can be synthetic or animal-derived,Hormone that can be synthetic or animal-derived,Often derived from animal sources
propolis,maybe,maybe,no,Bee product - resin collected by bees,Bee product - resin collected by bees,Animal-derived bee product
provitamin a,maybe,maybe,no,Vitamin precursor that can be synthetic or animal-derived,Vitamin precursor that can be synthetic or animal-derived,Often derived from animal sources
provitamin b-5,maybe,maybe,no,Vitamin precursor that can be synthetic or animal-derived,Vitamin precursor that can be synthetic or animal-derived,Often derived from animal sources
provitamin d 2,maybe,maybe,no,Vitamin precursor that can be synthetic or animal-derived,Vitamin precursor that can be synthetic or animal-derived,Often derived from animal sources
provitamin d-2,maybe,maybe,no,Vitamin precursor that can be synthetic or animal-derived,Vitamin precursor that can be synthetic or animal-derived,Often derived from animal sources
pumpkin,yes,yes,yes,Plant-based vegetable - above-ground squash,Plant-based vegetable - above-ground squash,Plant-based vegetable - above-ground squash
pumpkin seeds,yes,yes,yes,Plant-based seeds - naturally occurring,Plant-based seeds - naturally occurring,Plant-based seeds - naturally occurring
pyridoxine hydrochloride,yes,yes,yes,Vitamin B6 - can be synthetic or plant-derived,Vitamin B6 - can be synthetic or plant-derived,Vitamin B6 - can be synthetic or plant-derived
quinoa,yes,yes,yes,Plant-based pseudocereal grain,Plant-based pseudocereal grain,Plant-based pseudocereal grain
radish,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
radishes,no,yes,yes,Root vegetables that grow underground - not suitable for Jain diet,Plant-based root vegetables,Plant-based root vegetables
rajma,yes,yes,yes,Kidney beans - plant-based legume,Kidney beans - plant-based legume,Kidney beans - plant-based legume
rapeseed,yes,yes,yes,Plant-based oil seed,May be processed with non-vegetarian processing aids,Plant-based oil seed
raspberries,yes,yes,yes,Berry fruit - plant-based and naturally occurring,May be processed in facilities with non-vegetarian items,Berry fruit - plant-based and naturally occurring
raspberry powder,yes,yes,yes,Dried berry powder - plant-based,Dried berry powder - plant-based,Dried berry powder - plant-based
red 40,yes,yes,yes,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived
red 40 lake,yes,yes,yes,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived
rennet,maybe,maybe,no,Enzyme that can be animal/microbial/plant-derived,Enzyme that can be animal/microbial/plant-derived,Often derived from animal stomach lining
rennin,maybe,maybe,no,Enzyme that can be animal/microbial/plant-derived,Enzyme that can be animal/microbial/plant-derived,Often derived from animal stomach lining
resinous glaze,maybe,maybe,no,Coating that may contain animal-derived shellac,Coating that may contain animal-derived shellac,Often contains animal-derived shellac
retinol,maybe,maybe,no,Vitamin A form that can be synthetic or animal-derived,Vitamin A form that can be synthetic or animal-derived,Often derived from animal liver
riboflavin,yes,yes,yes,Vitamin B2 - can be synthetic or plant-derived,Vitamin B2 - can be synthetic or plant-derived,Vitamin B2 - can be synthetic or plant-derived
ribonucleic acid,maybe,maybe,no,RNA that can be plant/microbial or animal-derived,RNA that can be plant/microbial or animal-derived,Often derived from animal sources
rice,yes,yes,yes,Plant-based cereal grain,Plant-based cereal grain,Plant-based cereal grain
rna,maybe,maybe,no,Ribonucleic acid that can be plant/microbial or animal-derived,Ribonucleic acid that can be plant/microbial or animal-derived,Often derived from animal sources
rosewater,yes,yes,yes,Plant-based floral water from rose petals,May be processed with non-vegetarian processing aids,Plant-based floral water from rose petals
royal jelly,maybe,maybe,no,Bee secretion - animal-derived product,Bee secretion - animal-derived product,Secretion from worker bees
rutabaga,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
rutabagas,no,yes,yes,Root vegetables that grow underground - not suitable for Jain diet,Plant-based root vegetables,Plant-based root vegetables
sable brushes,maybe,maybe,no,Made from animal fur (sable),Made from animal fur (sable),Made from animal fur
sait,yes,yes,yes,Salt - mineral compound naturally occurring,Salt - mineral compound naturally occurring,Salt - mineral compound naturally occurring
salsify,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
salt,yes,yes,yes,Mineral compound - naturally occurring,Mineral compound - naturally occurring,Mineral compound - naturally occurring
saturated fat,maybe,maybe,no,Fat that can be plant or animal-derived,Fat that can be plant or animal-derived,Often contains animal-derived fats
saturated fats,maybe,maybe,no,Fats that can be plant or animal-derived,Fats that can be plant or animal-derived,Often contains animal-derived fats
saturated fatty acids,maybe,maybe,no,Fatty acids that can be plant or animal-derived,Fatty acids that can be plant or animal-derived,Often contains animal-derived components
saturated oils,maybe,maybe,no,Oils that can be plant or animal-derived,Oils that can be plant or animal-derived,May contain animal-derived oils
saturated wax,maybe,maybe,no,Wax that can be plant or animal-derived,Wax that can be plant or animal-derived,Often contains animal-derived wax
saturated wax-like compounds,maybe,maybe,no,Compounds that can be plant or animal-derived,Compounds that can be plant or animal-derived,Often contains animal-derived components
saturated waxes,maybe,maybe,no,Waxes that can be plant or animal-derived,Waxes that can be plant or animal-derived,Often contains animal-derived wax
sea salt,yes,yes,yes,Mineral salt from ocean water - naturally occurring,Mineral salt from ocean water - naturally occurring,Mineral salt from ocean water - naturally occurring
sea turtle oil,maybe,maybe,no,Oil extracted from sea turtle fat,Oil extracted from sea turtle fat,Derived from sea turtle fat
sesame,yes,yes,yes,Plant-based seed - naturally occurring,Plant-based seed - naturally occurring,Plant-based seed - naturally occurring
sesame seed,yes,yes,yes,Plant-based seed used as food and oil source,Plant-based seed used as food and oil source,Plant-based seed used as food and oil source
shallot,no,yes,yes,Bulb that grows underground - not suitable for Jain diet,Plant-based vegetable from onion family,Plant-based vegetable from onion family
shark liver oil,maybe,maybe,no,Oil extracted from shark liver,Oil extracted from shark liver,Derived from shark organs
sheepskin,maybe,maybe,no,Animal hide from sheep,Animal hide from sheep,Made from animal hide
shellac,maybe,maybe,no,Resin secreted by lac insects,Resin secreted by lac insects,Derived from insect secretions
silk,maybe,maybe,no,Protein fiber produced by silkworms,Protein fiber produced by silkworms,Derived from silkworm cocoons
silk powder,maybe,maybe,no,Powdered silk protein from silkworm cocoons,Powdered silk protein from silkworm cocoons,Derived from silkworm cocoons
skim milk,yes,yes,no,Low-fat milk - dairy-derived but vegetarian-acceptable,Low-fat milk - dairy-derived but vegetarian-acceptable,Derived from animal milk
skirret,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
snails,maybe,maybe,no,Mollusk - animal organism,Mollusk - animal organism,Animal organism
sodium caseinate,maybe,maybe,no,Milk protein derivative,Milk protein derivative,Derived from animal milk protein
sodium citrate,yes,yes,yes,Salt of citric acid - can be plant-derived,Salt of citric acid - can be plant-derived,Salt of citric acid - can be plant-derived
sodium steroyl lactylate,maybe,maybe,no,Food additive that may contain animal-derived components,Food additive that may contain animal-derived components,Often contains animal-derived lactic acid
sodium tallowate,maybe,maybe,no,Soap ingredient derived from animal tallow,Soap ingredient derived from animal tallow,Derived from animal fat
sorbito,yes,yes,yes,Sugar alcohol - can be plant-derived,May be processed with non-vegetarian processing aids,Sugar alcohol - can be plant-derived
sorbitol may also contain allspice,yes,yes,yes,Sugar alcohol with plant-based spice,May be processed with non-vegetarian processing aids,Sugar alcohol with plant-based spice
sour cream,no,yes,no,Fermented dairy product may harm microorganisms,Dairy product - vegetarian-acceptable,Made from animal milk
soy,yes,yes,yes,Plant-based legume - naturally occurring,Plant-based legume - naturally occurring,Plant-based legume - naturally occurring
soy lecithin,yes,yes,yes,Plant-based emulsifier from soybeans,Plant-based emulsifier from soybeans,Plant-based emulsifier from soybeans
soybeans,yes,yes,yes,Plant-based legume - naturally occurring protein source,Plant-based legume - naturally occurring protein source,Plant-based legume - naturally occurring protein source
sperm oil,maybe,maybe,no,Oil derived from sperm whale,Oil derived from sperm whale,Derived from whale organs
spermaceti,maybe,maybe,no,Waxy substance from sperm whale head,Waxy substance from sperm whale head,Derived from whale organs
spice extractives,yes,yes,yes,Plant-based concentrated spice extracts,Plant-based concentrated spice extracts,Plant-based concentrated spice extracts
spices,yes,yes,yes,Plant-based seasonings and flavorings,Plant-based seasonings and flavorings,Plant-based seasonings and flavorings
spinach,yes,yes,yes,Leafy green vegetable - plant-based,Leafy green vegetable - plant-based,Leafy green vegetable - plant-based
spirulina,no,yes,yes,Blue-green algae may involve microorganism cultivation,Blue-green algae - plant-kingdom organism,Blue-green algae - plant-kingdom organism
sponge (luna and sea),maybe,maybe,no,Marine animal - filter-feeding organism,Marine animal - filter-feeding organism,Marine animal organism
squalane,maybe,maybe,no,Hydrocarbon that can be synthetic or shark-derived,Hydrocarbon that can be synthetic or shark-derived,Often derived from shark liver oil
squalene,maybe,maybe,no,Compound that can be synthetic or shark-derived,Compound that can be synthetic or shark-derived,Often derived from shark liver oil
star anise,yes,yes,yes,Plant-based spice - naturally occurring,May be processed with non-vegetarian processing aids,Plant-based spice - naturally occurring
staranise,yes,yes,yes,Plant-based spice - naturally occurring,May be processed with non-vegetarian processing aids,Plant-based spice - naturally occurring
stearamide,maybe,maybe,no,Fatty acid derivative that can be plant or animal-derived,Fatty acid derivative that can be plant or animal-derived,Often contains animal-derived components
stearamine,maybe,maybe,no,Fatty acid derivative that can be plant or animal-derived,Fatty acid derivative that can be plant or animal-derived,Often contains animal-derived components
stearamine oxide,maybe,maybe,no,Synthetic compound that may use animal-derived starting materials,Synthetic compound that may use animal-derived starting materials,Often contains animal-derived components
stearates,maybe,maybe,no,Fatty acid salts that can be plant or animal-derived,Fatty acid salts that can be plant or animal-derived,Often contains animal-derived components
stearic acid,maybe,maybe,no,Fatty acid that can be plant or animal-derived,Fatty acid that can be plant or animal-derived,Often contains animal-derived components
stearic hydrazide,maybe,maybe,no,Chemical compound that may use animal-derived starting materials,Chemical compound that may use animal-derived starting materials,Often contains animal-derived components
stearone,maybe,maybe,no,Ketone that can be plant or animal-derived,Ketone that can be plant or animal-derived,Often contains animal-derived components
stearoxytrimethylsilane,maybe,maybe,no,Silicone compound that may use animal-derived starting materials,Silicone compound that may use animal-derived starting materials,Often contains animal-derived components
